Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,"-0,94599","-0,035123","19,995",0,0,0,"706,02","5881,5","1,1397E-17","0,41678","5881,5","-3,3767E-15","7,9369",0,0,0,0,0,0,package://linha/meshes/base_link.STL,"0,91765","0,78824","0,57647",1,0,0,0,0,0,0,package://linha/meshes/base_link.STL,,poste-1/torre_poste-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
barralink,"0,075","-0,00057352","3,8858E-16",0,0,0,"89,397","67,371","4,234E-16","1,4328E-14","67,244","1,2058E-15","0,46408",0,0,0,0,0,0,package://linha/meshes/barralink.STL,"0,79216","0,81961","0,93333",1,0,0,0,0,0,0,package://linha/meshes/barralink.STL,,poste-1/barra-3,Origin_barrajunta,Axis_barrajunta,barrajunta,fixed,"-0,835842041956596","-23,925","-0,035122804521445","3,14159265358979",0,0,base_link,0,0,0,,,,,,,,,,,,
suplink,"-3,4493E-07","0,024783","5,35E-08",0,0,0,"1,4025","0,0048578","-2,4354E-08","-1,1709E-08","0,0031424","3,5219E-09","0,006599",0,0,0,0,0,0,package://linha/meshes/suplink.STL,"0,77647","0,75686","0,73725",1,0,0,0,0,0,0,package://linha/meshes/suplink.STL,,poste-1/suporte2-3,Origin_supjunta,Axis_supjunta,supjunta,fixed,"0,0749999999999995","0,150000000000002","1,125",0,"1,5707963267949",0,barralink,0,0,0,,,,,,,,,,,,
cabolink,"-0,00078291","-0,71638","-10,183",0,0,0,"100,98","3524,2","0,056191","-0,79816","3512,5","13,879","11,729",0,0,0,0,0,0,package://linha/meshes/cabolink.STL,"0,89804","0,92157","0,92941",1,0,0,0,0,0,0,package://linha/meshes/cabolink.STL,,cabo30-1,Origin_cabojunta,Axis_cabojunta,cabojunta,fixed,0,"0,0399999999999814","0,0199999999999609","3,14159265358979",0,"3,14159265358979",suplink,0,0,0,,,,,,,,,,,,
sup2link,"-3,4545E-07","0,024783","5,5174E-08",0,0,0,"1,4025","0,0048578","-2,4394E-08","-1,158E-08","0,0031424","3,6393E-09","0,006599",0,0,0,0,0,0,package://linha/meshes/sup2link.STL,"0,77647","0,75686","0,73725",1,0,0,0,0,0,0,package://linha/meshes/sup2link.STL,,poste-3/suporte2-3,Origin_sup2junta,Axis_sup2junta,sup2junta,fixed,"-0,117861280525186","-0,0443947920150407","-20,3567357062007","3,14159265358979","-0,546301181003341","3,14159265358979",cabolink,0,0,0,,,,,,,,,,,,
barra2link,"0,075","-0,00057352","1,7764E-15",0,0,0,"89,397","67,371","-9,0349E-16","-1,6854E-12","67,244","7,2299E-17","0,46408",0,0,0,0,0,0,package://linha/meshes/barra2link.STL,"0,79216","0,81961","0,93333",1,0,0,0,0,0,0,package://linha/meshes/barra2link.STL,,poste-3/barra-3,Origin_barra2junta,Axis_barra2junta,barra2junta,fixed,"1,12499999999999","-0,150000000000006","-0,0750000000001592","3,14159263868863","-1,5707963267949",0,sup2link,0,0,0,,,,,,,,,,,,
poste2link,"-0,00015022",0,"4,9953",0,0,0,"706,02","5881,5","2,2737E-13","0,41678","5881,5","-1,2756E-13","7,9369",0,0,0,0,0,0,package://linha/meshes/poste2link.STL,"0,91765","0,78824","0,57647",1,0,0,0,0,0,0,package://linha/meshes/poste2link.STL,,poste-3/torre_poste-1,Origin_poste2junta,Axis_poste2junta,poste2junta,fixed,"-0,109999999999921","-8,925",0,"-1,5707963267949",0,0,barra2link,0,0,0,,,,,,,,,,,,
cabo2link,"-0,00078319","-0,71638","-10,183",0,0,0,"100,98","3525,9","0,056432","-0,7981","3514,2","13,854","11,761",0,0,0,0,0,0,package://linha/meshes/cabo2link.STL,"0,89804","0,92157","0,92941",1,0,0,0,0,0,0,package://linha/meshes/cabo2link.STL,,cabo30-2,Origin_cabo2junta,Axis_cabo2junta,cabo2junta,fixed,0,"0,0399999999999956","0,0199999999999996","3,14159265358979",0,"3,14159265358979",sup2link,0,0,0,,,,,,,,,,,,
sup3link,"-3,4493E-07","0,024783","5,4028E-08",0,0,0,"1,4025","0,0048578","-2,4354E-08","-1,1087E-08","0,0031424","3,5571E-09","0,006599",0,0,0,0,0,0,package://linha/meshes/sup3link.STL,"0,77647","0,75686","0,73725",1,0,0,0,0,0,0,package://linha/meshes/sup3link.STL,,poste-4/suporte2-3,Origin_sup3junta,Axis_sup3junta,sup3junta,fixed,"-0,117861280527739","-0,0443947920150229","-20,3567357062008","3,14159265358979","-0,546301181003803","3,14159265358979",cabo2link,0,0,0,,,,,,,,,,,,
barra3link,"0,075","-0,00057352","3,5527E-15",0,0,0,"89,397","67,371","1,4462E-15","1,5051E-12","67,244","-2,5895E-13","0,46408",0,0,0,0,0,0,package://linha/meshes/barra3link.STL,"0,79216","0,81961","0,93333",1,0,0,0,0,0,0,package://linha/meshes/barra3link.STL,,poste-4/barra-3,Origin_barra3junta,Axis_barra3junta,barra3junta,fixed,"1,12500000000002","-0,150000000000006","-0,0749999999997932","3,14159265358979","-1,5707963267949",0,sup3link,0,0,0,,,,,,,,,,,,
